,active_finished_ratio,answer_time,first_sold_time,max_active_cost,max_finished_cost,mean_active_cost,mean_finished_cost,min_active_cost,min_finished_cost,n_active,n_finished,name,person_status,start_date,url
1626,14.333333333333336,Отвечает около часа,736995.0,39000.0,500.0,3673.595238095238,450.0,0.0,400.0,42,2,елена,компания,735658.0,https://www.avito.ru/user/43c509431d61f04e0560a3e1170e5f8c/profile
1627,0.041666666666666664,,735575.0,700.0,25000.0,700.0,1534.0425531914893,700.0,0.0,1,47,александр,частное лицо,735568.0,https://www.avito.ru/user/e85f1092f2563c2c1316144d6acf1bbd/profile
1628,1.75,"Редко отвечает на сообщения, рекомендуем звонить",736955.0,62000.0,2500.0,2887.037037037037,680.0,350.0,250.0,27,15,кристина,частное лицо,735203.0,https://www.avito.ru/user/a0e99c3f750a190151c05246c51885ec/profile
1629,1.4375,Отвечает в течение дня,736566.0,2000.0,25000.0,455.9090909090909,2083.333333333333,0.0,50.0,22,15,оксана,частное лицо,736116.0,https://www.avito.ru/user/d7b5295da18791f0e06f7c6e3f031b5f/profile
1630,1.1666666666666667,Отвечает за несколько часов,736029.0,8000.0,22000.0,3458.333333333333,13190.0,450.0,450.0,6,5,мария,частное лицо,735538.0,https://www.avito.ru/user/0e8de94c49867bc85bbfc86d972cc38f/profile
1631,0.6341463414634146,Отвечает за несколько часов,736217.0,2300.0,4500.0,898.4,1211.5,190.0,1.0,25,40,евгения h.,частное лицо,735933.0,https://www.avito.ru/user/da3a8d663f9b29768ae3a0b10bd12251/profile
1632,4.0,,,300.0,,283.3333333333333,,250.0,,3,0,яна савельева,частное лицо,736846.0,https://www.avito.ru/user/581c1c2bc7b2988d0bd1b584af27a099/profile
1633,0.10294117647058824,,736292.0,800.0,12000.0,483.33333333333326,969.5522388059703,200.0,10.0,6,67,анна,частное лицо,734228.0,https://www.avito.ru/user/4fb9a9ff9434aa22b4f95effe3c47325/profile
1634,1.2941176470588236,,736278.0,9900.0,199000.0,1239.2857142857142,13806.1875,200.0,50.0,21,16,таня,частное лицо,734808.0,https://www.avito.ru/user/0452f7fcd3efb94ba4377419ad451f61/profile
1635,5.0,,,2000.0,,1225.0,,900.0,,4,0,аида,частное лицо,734808.0,https://www.avito.ru/user/1c0e9bc0ff48d375ca03bb0d4ba08642/profile
1636,2.1,,736501.0,40000.0,13000.0,9500.0,7166.666666666668,1000.0,1500.0,20,9,частное лицо,частное лицо,735203.0,https://www.avito.ru/user/4973eadd11f5e00fad8ee1211c110a82/profile
1637,2.142857142857143,Отвечает за несколько часов,736852.0,43000.0,38000.0,12307.142857142857,16500.0,500.0,1500.0,14,6,владимир,частное лицо,736815.0,https://www.avito.ru/user/55c9cf0aa7ba1bbef9df4d6d6a0a9039/profile
1638,11.666666666666664,Отвечает за несколько часов,736994.0,1000.0,550.0,299.11764705882354,475.0,50.0,400.0,34,2,ольга,частное лицо,734838.0,https://www.avito.ru/user/82da0461f1323e04995ae4254ed51548/profile
1639,8.0,"Редко отвечает на сообщения, рекомендуем звонить",,11000.0,,2571.428571428572,,500.0,,7,0,ирина,частное лицо,736968.0,https://www.avito.ru/user/4baa02ac7b4e7eb477ce53e891ac6627/profile
1640,1.7407407407407407,Отвечает за несколько часов,734344.0,5000.0,8000.0,1295.6521739130435,1415.7692307692307,50.0,10.0,46,26,наталья,частное лицо,734319.0,https://www.avito.ru/user/66d272bc9f17c603603de3387ef140fd/profile
1641,2.333333333333333,Отвечает за несколько часов,736799.0,4000.0,4000.0,1666.666666666667,2500.0,700.0,1000.0,6,2,оксана,частное лицо,736603.0,https://www.avito.ru/user/e9ad36eb81d1c69420a87297ecfd1837/profile
1642,8.5,Отвечает в течение дня,736701.0,1500.0,1500.0,568.75,1500.0,0.0,1500.0,16,1,марина,частное лицо,735415.0,https://www.avito.ru/user/c9ce2521493f11f4a834d11dc03a07b2/profile
1643,0.5714285714285714,,736231.0,900.0,11000.0,600.0,2265.0,300.0,290.0,3,6,светлана,частное лицо,733773.0,https://www.avito.ru/user/35d95918bb89c922bfe7e2662c9c1478/profile
1644,0.525,Отвечает за несколько часов,735706.0,8000.0,45000.0,2315.0,2466.6666666666665,300.0,200.0,20,39,мария,частное лицо,734534.0,https://www.avito.ru/user/edc0b3bdd92efa22617384474642a0ff/profile
